CATEGORY,DISTRICT,LAT,LNG,NAME,POSTCODE,ROAD
Residences,MAAFANNU,4.175406311,73.50282133,ACHIEVE,20337,IRAMAA MAGU
Residences,HENVEIRU,4.17136424,73.51407051,ACROPOLIS,20076,KASHIMAA HINGUN
Residences,MAAFANNU,4.176235588,73.50506902,ADDANA,20289,MUNIYAA MAGU
Residences,HENVEIRU,4.172902423,73.51658911,ADDOO,20022,HEENAA GOALHI
Residences,HENVEIRU,4.172910448,73.51654887,ADDOO VILLA,20022,HEENAA GOALHI
Residences,HENVEIRU,4.172886372,73.51651132,ADDOOGE,20022,HEENAA GOALHI
Residences,HENVEIRU,4.17297465,73.51652205,ADDOOGE AAGE,20022,HEENAA GOALHI
Residences,HENVEIRU,4.172883697,73.51693511,ADDOOGE DHEKUNUBAI,20022,RAIYVILAA MAGU
Government Offices,MAAFANNU,4.178150948,73.50750983,ADDU ATOLHU GAMAA BEHEY SECTION,20223,ORCHID MAGU
Residences,HENVEIRU,4.174997022,73.51789534,ADHA,20005,ABADHAH UFAA MAGU
Residences,MAAFANNU,4.174437928,73.50592196,ADHAARASAMGE,20276,JAMBU MAGU
Residences,MACHCHANGOLHI,4.175871776,73.50799328,ADHANGAU,20228,ZAMAANEE GOALHI
Residences,GALOLHU,4.175042499,73.51050586,ADHARAN,20139,MAJEEDHEE MAGU
Retail Outlets and Supermarkets,HENVEIRU,4.178236551,73.51015985,ADHEEL  JALEEL & BROTHERS NO 1,20156,CHAANDHANEE MAGU
Residences,HENVEIRU,4.175620318,73.51433337,ADHOO,20069,ABADHAH FEHI MAGU
Residences,GALOLHU,4.172113268,73.51246923,ADHUNEE AAGE,20110,BURUZU MAGU
Residences,GALOLHU,4.172051741,73.51246923,ADHUNI,20110,BURUZU MAGU
Residences,GALOLHU,4.172640263,73.5140276,ADIMAGU,20091,KASHIMAA HINGUN
Medical Services/Facilities,HENVEIRU,4.174865943,73.51486176,ADK HOSPITAL,20040,SOSUN MAGU
